Page,Button/Action,Behavior,API Endpoint,Role Visibility,Notes
Fixzit Douq,Add to RFQ,Add service to RFQ basket,POST /api/fixzit-douq/rfq-basket,Buyer,RFQ basket management
Fixzit Douq,Submit Bid,Vendor submits service bid,POST /api/fixzit-douq/bids,Vendor,Bid submission workflow
Fixzit Douq,Track Order,Monitor order status and delivery,GET /api/fixzit-douq/orders/{id}/tracking,Buyer|Vendor,Order tracking
Fixzit Douq,Rate Service,Submit service quality rating,POST /api/fixzit-douq/services/{id}/rating,Buyer,Service feedback
Vendor Portal,Update Profile,Modify vendor company profile,PUT /api/vendor/profile,Vendor,Profile management
Vendor Portal,Manage Catalog,Update service offerings,PUT /api/vendor/catalog,Vendor,Service catalog management
Vendor Portal,View Performance,Monitor ratings and feedback,GET /api/vendor/performance,Vendor,Performance analytics
Vendor Portal,Payment Status,Check payment and invoice status,GET /api/vendor/payments,Vendor,Financial tracking
Technician Portal,My Jobs,View assigned work orders,GET /api/technician/work-orders,Technician,Task management
Technician Portal,Start Job,Begin work order execution,PUT /api/work-orders/{id}/start,Technician,Work initiation
Technician Portal,Upload Photos,Add work progress photos,POST /api/work-orders/{id}/photos,Technician,Documentation
Technician Portal,Complete Job,Mark work order as completed,PUT /api/work-orders/{id}/complete,Technician,Work completion
Technician Portal,Navigation,Get directions to property,GET /api/properties/{id}/location,Technician,GPS navigation
AI Assistant,Upload Bank Statement,Process bank statement with AI,POST /api/ai/process-document,Finance Clerk|Finance Officer,Document processing
AI Assistant,Review Transactions,Review AI-parsed transactions,GET /api/ai/processing-results/{id},Finance Clerk|Finance Officer,Data validation
AI Assistant,Submit for Approval,Send to DoA approval workflow,POST /api/ai/submit-for-approval,Finance Clerk,Workflow initiation
AI Assistant,Chat Query,Ask AI assistant questions,POST /api/ai/chat,All roles,Conversational interface
AI Assistant,Generate Report,AI-assisted report generation,POST /api/ai/generate-report,Manager|Admin|Finance Officer,AI report creation
Settings,Update Profile,Modify user profile information,PUT /api/users/profile,All roles,Profile management
Settings,Change Password,Update user password,PUT /api/users/password,All roles,Security management
Settings,Notification Preferences,Configure notification settings,PUT /api/users/notifications,All roles,Preference management
Settings,API Key Management,Generate and manage API keys,GET /api/users/api-keys,Admin|Developer roles,API access
Settings,Two-Factor Auth,Enable/disable 2FA,PUT /api/users/2fa,All roles,Security enhancement
Login,Role Selection,Choose login role/portal,GET /api/auth/portals,All roles,Portal launcher
Login,Quick Login,Use demo credentials,POST /api/auth/demo-login,Demo users,Development/demo access
Login,Forgot Password,Initiate password reset,POST /api/auth/forgot-password,All users,Password recovery
Login,Create Account,Register new user account,POST /api/auth/register,Public|Admin invitation,Account creation
Portal Launcher,Launch Fixzit App,Navigate to main facility management,GET /dashboard,All authenticated users,Main platform access
Portal Launcher,Launch Aqar Douq,Navigate to real estate marketplace,GET /aqar-douq,Public|Agent|Customer,Marketplace access
Portal Launcher,Launch Fixzit Douq,Navigate to services marketplace,GET /fixzit-douq,Buyer|Vendor,Service marketplace
Portal Launcher,Vendor Portal,Navigate to vendor management,GET /vendor-portal,Vendor,Vendor-specific interface
Portal Launcher,Technician Portal,Navigate to field service app,GET /technician-portal,Technician,Field service interface
